mode,epochs,timestep,ep_reward,reward,action
train,1,45,21.611377716064453,0.4607168436050415,0.040351882576942444
train,1,46,22.095964431762695,0.484586238861084,0.8623827695846558
train,1,47,22.5994873046875,0.5035220384597778,0.2926216423511505
train,1,48,23.114797592163086,0.5153111219406128,-0.286576509475708
train,1,49,23.63665199279785,0.5218542814254761,-0.7188587784767151
train,1,50,24.161476135253906,0.5248247981071472,-0.2281375229358673
train,1,51,24.684524536132812,0.5230478048324585,0.7782842516899109
train,1,52,25.197467803955078,0.512944221496582,-0.04806175082921982
train,1,53,25.695222854614258,0.4977550506591797,0.5660520792007446
train,1,54,26.17028045654297,0.4750579595565796,0.28849953413009644
train,1,55,26.617977142333984,0.447695791721344,0.010121025145053864
train,1,56,27.035879135131836,0.41790252923965454,-0.9509560465812683
train,1,57,27.427839279174805,0.39195942878723145,0.2803990840911865
train,1,58,27.804927825927734,0.3770875930786133,-0.40953245759010315
train,1,59,28.210712432861328,0.4057839512825012,-0.30757129192352295
train,1,60,28.642988204956055,0.4322749376296997,-0.11468425393104553
train,1,61,29.098901748657227,0.4559134840965271,0.017030656337738037
train,1,62,29.575227737426758,0.4763256907463074,0.9437191486358643
train,1,63,30.069324493408203,0.49409645795822144,-0.19365352392196655
train,1,64,30.578332901000977,0.5090087652206421,0.3009946346282959
train,1,65,31.097347259521484,0.5190150737762451,0.20358392596244812
train,1,66,31.62167739868164,0.524329423904419,0.3652734160423279
train,1,67,32.14669418334961,0.5250161290168762,0.1464327722787857
train,1,68,32.66713333129883,0.5204397439956665,0.8220625519752502
train,1,69,33.18014907836914,0.5130169987678528,1.0861384868621826
train,1,70,33.68415832519531,0.5040110349655151,-0.36174339056015015
train,1,71,34.171932220458984,0.4877723455429077,0.24366101622581482
train,1,72,34.640472412109375,0.46854132413864136,0.2435186803340912
train,1,73,35.086952209472656,0.44648152589797974,0.19042208790779114
train,1,74,35.509159088134766,0.4222067594528198,-0.2035832554101944
train,1,75,35.90385055541992,0.3946916460990906,0.09393937885761261
train,1,76,36.27919006347656,0.375339150428772,0.13975870609283447
train,1,77,36.680973052978516,0.4017826318740845,-0.1753586232662201
train,1,78,37.108070373535156,0.42709898948669434,0.5364537239074707
train,1,79,37.558868408203125,0.45079970359802246,-0.17690734565258026
train,1,80,38.02951431274414,0.47064685821533203,0.5969851016998291
train,1,81,38.51620101928711,0.48668503761291504,0.2810741662979126
train,1,82,39.0131721496582,0.4969692826271057,0.8467313647270203
train,1,83,39.513580322265625,0.5004062652587891,0.6616512537002563
train,1,84,40.01005172729492,0.4964727759361267,-0.36896055936813354
train,1,85,40.499107360839844,0.4890550374984741,0.37786200642585754
train,1,86,40.97476577758789,0.47565823793411255,0.6786421537399292
train,1,87,41.43050003051758,0.45573586225509644,-0.24738410115242004
train,1,88,41.865272521972656,0.43477362394332886,0.22373640537261963
train,1,89,42.27528381347656,0.4100101590156555,0.2802637815475464
train,1,90,42.65822982788086,0.38294684886932373,0.5130639672279358
train,1,91,43.04587936401367,0.38764822483062744,-0.19333305954933167
